prompt1,prompt2,0,1,2,3,4,5,6,7,8,9,10
"a portrait of an overwhelmed young man in a painting from stalenhag, 4 k, 8 k, hdr, artstation, concept art ","todd solondz, high quality high detail graphic novel of todd solondz, clear sharp face of todd solondz, night, by lucian freud and gregory crewdson and francis bacon, ",6.5157036781311035,6.699395656585693,6.520711421966553,6.806542873382568,6.504914283752441,6.284969329833984,6.315953254699707,6.737612247467041,5.869631290435791,5.843799591064453,5.327340126037598
"todd solondz, high quality high detail graphic novel of todd solondz, clear sharp face of todd solondz, night, by lucian freud and gregory crewdson and francis bacon, ",Oh no,5.327340126037598,4.867303848266602,4.556311130523682,4.306668758392334,4.438162803649902,3.682631015777588,4.019433975219727,3.440683364868164,3.1521835327148438,3.339478015899658,2.378148078918457
vladimur putin on a magic the gathering card ,illusory motion optical illusion ,5.198878765106201,4.758764266967773,5.104853630065918,4.467478275299072,4.710122585296631,5.404280185699463,5.4004807472229,5.056922435760498,4.975417137145996,4.771382808685303,4.987471580505371
"a portrait of an overwhelmed young man in a painting from stalenhag, 4 k, 8 k, hdr, artstation, concept art ","portrait of a splendid sad north korean woman from scary stories to tell in the dark in ibiza, spain with pearlescent skin and cyber yellow hair stronghold in the style of chalks by andre kohn, trending on 5 0 0 px : : 5, hdr, 8 k resolution, ray traced, screen space ambient occlusion : : 2, true blue color scheme ",6.5157036781311035,6.853616237640381,6.736311435699463,6.150815010070801,6.602579593658447,6.854835033416748,6.708893775939941,6.371603012084961,6.173984050750732,5.995378017425537,6.145147323608398
"the shape silhouette of a fluffy cat, stacked plot of radio emissions from a pulsar, abstracted light refractions and stripy interference, making up a cat isolated on black, highly detailed high resolution, silk screen t-shirt design in the style of FELIPE PANTONE 4K",the funniest thing I've ever seen!,5.716915607452393,5.450650215148926,5.918857097625732,5.711423873901367,4.221230506896973,2.1181273460388184,2.3281736373901367,2.820418357849121,2.640498161315918,2.498995780944824,2.967592477798462
"beautiful studio photograph of colorful postmodern portrait sculpture of adam sandler smiling, beautiful symmetrical face accurate face detailed face realistic proportions, made of watercolor - painted plaster on a pedestal by ron mueck and matthew barney and greg rutkowski, hysterical realism intense cinematic lighting shocking detail 8 k ",Monkey Pointing a Gun at a Computer Meme,6.064558506011963,6.119846343994141,5.539076328277588,5.8274245262146,5.2850189208984375,5.326671123504639,5.45404577255249,2.5836410522460938,2.823129177093506,2.3820924758911133,2.273573160171509
😏 Shrek,"flat primitive drawing, front view, full face, aqueduct with 4 arches ",5.193172931671143,5.19056510925293,4.9000020027160645,5.038815498352051,4.989192008972168,5.124866962432861,4.942325115203857,5.3396735191345215,5.640800952911377,5.754918575286865,5.734755992889404
intricate maze linework highly detailed optical illusion escher,"willy wonka giving a tour inside his dogfood factory, horse guillotine, dancing oompa loompas covered in blood ",5.100452423095703,4.826426029205322,5.146181583404541,5.479647159576416,5.567500591278076,5.365002155303955,5.326914310455322,4.293704032897949,4.514976978302002,2.607652187347412,2.4173388481140137
elon's musk ,Oh no,5.114149570465088,5.237617492675781,3.6199426651000977,4.692687511444092,4.2682061195373535,4.28387975692749,3.457667827606201,3.331876754760742,3.2262940406799316,2.5790162086486816,2.378148078918457
The last thing a human sees before death,"oil painting portrait of brock pierce, american flag on background, cowboy style. ",4.308391571044922,4.019599914550781,4.069082736968994,4.322165489196777,5.560251712799072,5.965360164642334,6.0960798263549805,6.151726722717285,6.203857898712158,6.250890254974365,6.335479736328125
elon's musk ,elon troll face ,5.114149570465088,4.893589019775391,4.862934112548828,4.886610984802246,4.902439117431641,4.953660011291504,4.974978446960449,5.056719779968262,5.1144866943359375,4.935798645019531,4.955508232116699
Monkey Pointing a Gun at a Computer Meme,"bright psychedelic portrait of tom waits baking pizza, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha",2.273573160171509,2.895273447036743,2.682720899581909,2.1827378273010254,2.8502273559570312,6.341789722442627,6.368828773498535,6.756307601928711,6.223211765289307,6.486583232879639,6.4641828536987305
"oil painting portrait of brock pierce, american flag on background, cowboy style. ","todd solondz, high quality high detail graphic novel of todd solondz, clear sharp face of todd solondz, night, by lucian freud and gregory crewdson and francis bacon, ",6.335479736328125,6.239017009735107,6.151810169219971,6.205685615539551,6.218586444854736,6.07736349105835,6.0898871421813965,6.07936954498291,5.748355865478516,5.561583042144775,5.327340126037598
"goddess made of ice long hair like a waterfall, full body, horizontal symmetry!, elegant, intricate, highly detailed, fractal background, digital painting, artstation, concept art, wallpaper, smooth, sharp focus, illustration, epic light, art by kay nielsen and zeen chin and wadim kashin and sangyeob park, terada katsuya ","flat primitive drawing, front view, full face, aqueduct with 4 arches ",6.377896785736084,6.5129313468933105,6.225368022918701,5.762639045715332,6.35292911529541,6.321802616119385,5.936128616333008,6.190359115600586,6.225754737854004,5.675938606262207,5.734755992889404
"beautiful studio photograph of colorful postmodern portrait sculpture of adam sandler smiling, beautiful symmetrical face accurate face detailed face realistic proportions, made of watercolor - painted plaster on a pedestal by ron mueck and matthew barney and greg rutkowski, hysterical realism intense cinematic lighting shocking detail 8 k ",😏 Shrek,6.064558506011963,5.805755138397217,5.674032688140869,5.38238525390625,4.889350414276123,5.134843826293945,5.247125148773193,5.424459934234619,5.601234436035156,5.3200507164001465,5.193172931671143
the funniest thing I've ever seen!,ben shapiro destroys the leftists with facts an logic ,2.967592477798462,2.1282358169555664,2.200869560241699,2.2647829055786133,2.475282669067383,2.9593682289123535,2.018115997314453,2.4273359775543213,2.916109085083008,2.0751147270202637,2.3177742958068848
